district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
Daichopan,Zabul,,,0,17100,16400,33500,17100,16400,33500,1383
Mizan,Zabul,,,0,6000,5700,11700,6000,5700,11700,1383
Tarang Wa Jaldak,Zabul,,,0,7500,7100,14600,7500,7100,14600,1383
Shinkai,Zabul,,,0,10300,9700,20000,10300,9700,20000,1383
Atghar,Zabul,,,0,3800,3600,7400,3800,3600,7400,1383
Shemel Zayi,Zabul,,,0,11400,10600,22000,11400,10600,22000,1383
Kakar (khak-e-afghan),Zabul,,,0,10500,10000,20500,10500,10000,20500,1383
Naw Bahar,Zabul,,,0,8100,7900,16000,8100.0005,7900,16000,1383
province Center (Tirinkot),Uruzghan,2700,2600,5300,42500,39200,81700,45200,41800,87000,1383
Chora,Uruzghan,,,0,27800,26600,54399.996,27800,26600,54399.996,1383
Khas Urozgan,Uruzghan,,,0,24800,23300,48100,24800,23300,48100,1383
Shahidhassas,Uruzghan,,,0,25500,24700,50200,25500,24700,50200,1383
Dehraoud,Uruzghan,1400,1300,2700,25400,23700,49100,26800,25000,51800,1383
province Center (Chighcheran),Ghor,2800,2700,5500,55500,54000,109500,58300,56700,115000,1383
Dawlatyar,Ghor,,,0,14000,13800,27800,14000,13800,27800,1383
Char Sada,Ghor,,,0,11900,11400,23300,11900,11400,23300,1383
Shahrak,Ghor,,,0,26300,24600,50899.996,26300,24600,50899.996,1383
Duleena,Ghor,,,0,15600,15100,30700,15600,15100,30700,1383
Pasaband,Ghor,,,0,41300,39400,80700,41300,39400,80700,1383
Lal-o-Sar-i-Jangal,Ghor,,,0,48000,47300,95300,48000,47300,95300,1383
Tulak,Ghor,,,0,22600,21200,43800,22600,21200,43800,1383
Saghar,Ghor,,,0,15300,14200,29500,15300,14200,29500,1383
Taywara,Ghor,,,0,40300,37500,77800,40300,37500,77800,1383
province Center (Bamyan),Bamyan,5000,5000,10000,30100,30200,60300,35100,35200,70299.992,1383
Shebar,Bamyan,,,0,13000,12100,25100,13000,12100,25100,1383
Saighan,Bamyan,,,0,10400,10000,20400,10400,10000,20400,1383
Kohmard,Bamyan,,,0,15800,15100,30900,15800,15100,30900,1383
Yakawlang,Bamyan,,,0,37800,36600,74400,37800,36600,74400,1383
Panjab,Bamyan,,,0,29300,28700,58000,29300,28700,58000,1383
Waras,Bamyan,,,0,47100,45700,92799.992,47100,45700,92799.992,1383
province Center (Bazarak),Panjshir,,,0,8200,7800,16000,8200,7800,16000,1383
Rukha,Panjshir,,,0,10000,9500,19500,10000,9500,19500,1383
Unaba,Panjshir,,,0,7900,7400,15300,7900,7400,15300,1383
Darah,Panjshir,,,0,10800,10400,21200,10800,10400,21200,1383
Hissa-e- Awal (Khinj),Panjshir,,,0,17400,16600,34000,17400,16600,34000,1383
Shutul,Panjshir,,,0,4700,4600,9300,4700,4600,9300,1383
Paryan,Panjshir,,,0,6400,6200,12600,6400,6200,12600,1383
province Center (Nili),Dehkondi,,,0,17800,16900,34700,17800,16900,34700,1383
Ishterlai,Dehkondi,,,0,20800,19700,40500,20800,19700,40500,1383
Sang -e- Takht,Dehkondi,,,0,22100,21000,43100,22100,21000,43100,1383
Khadeer,Dehkondi,,,0,20400,19300,39700,20400,19300,39700,1383
Shahrestan,Dehkondi,,,0,29100,27500,56600,29100,27500,56600,1383
Mir Amor,Dehkondi,,,0,27300,26000,53300,27300,26000,53300,1383
Gujran,Dehkondi,,,0,15300,14500,29800,15300,14500,29800,1383
Giti,Dehkondi,,,0,14700,13800,28500,14700,13800,28500,1383
Gizab,Dehkondi,1500,1400,2900,28000,26500,54500,29500,27900,57400,1383
province Center (Kabul),Kabul,1284900,1197700,2482600,,,0,1284900,1197700,2482599.8,1384
Deh Sabz,Kabul,,,0,24100,22800,46899.996,24100,22800,46899.996,1384
Mir Bacha kot,Kabul,,,0,22900,22400,45300,22900,22400,45300,1384
Kalakan,Kabul,,,0,13500,12800,26300,13500,12800,26300,1384
Qara Bagh,Kabul,,,0,33700,32500,66200,33700,32500,66200,1384
Farza,Kabul,,,0,9600,9100,18700,9600,9100,18700,1384
Estalef,Kabul,,,0,14900,14300,29200,14900,14300,29200,1384
Guldara,Kabul,,,0,10200,9700,19900,10200,9700,19900,1384
Shakar Dara,Kabul,,,0,36300,35100,71400,36300,35100,71400,1384
Paghman,Kabul,9000,8200,17200,44700,42400,87100,53700,50600,104300,1384
Chahar Asyab,Kabul,,,0,16500,15300,31800,16500,15300,31800,1384
Musahi,Kabul,,,0,10400,9900,20300,10400,9900,20300,1384
Khak-i-Jabar,Kabul,,,0,6400,6000,12400,6400,6000,12400,1384
Bagrami,Kabul,,,0,24700,23400,48100,24700,23400,48100,1384
Surubi,Kabul,,,0,24500,23700,48200,24500,23700,48200,1384
province Center (Mahmood Raqi),Kapisa,700,500,1200,27400,27000,54400,28100,27500,55600.004,1384
Hissa-e-Duwumi Kohistan,Kapisa,,,0,19800,19300,39100,19800,19300,39100,1384
Hissa-e-Awali Kohistan,Kapisa,,,0,29800,29200,59000,29800,29200,59000,1384
Nijrab,Kapisa,,,0,49200,48200,97400,49200,48200,97400,1384
Koh Band,Kapisa,,,0,10200,10200,20400,10200,10200,20400,1384
Tagab,Kapisa,,,0,35100,35100,70200,35100,35100,70200,1384
Alasai,Kapisa,,,0,16800,16000,32800,16800,16000,32800,1384
province Center (Charikar),Parwan,23100,22500,45600,53300,51300,104600,76400,73800,150200,1384
Saidkheil,Parwan,,,0,20200,19400,39600,20200,19400,39600,1384
Jabull saraj,Parwan,700,700,1400,27300,26600,53900,28000,27300,55300,1384
Salang,Parwan,,,0,11300,11200,22500,11300,11200,22500,1384
Shinwari,Parwan,,,0,18000,17600,35600,18000,17600,35600,1384
syahgird ('Ghurband),Parwan,,,0,41900,42000,83900,41900,42000,83900,1384
Bagram,Parwan,,,0,45400,44500,89900,45400,44500,89900,1384
Koh-e- Safi,Parwan,,,0,13600,13400,27000,13600,13400,27000,1384
Shaykh Ali,Parwan,,,0,10900,10500,21400,10900,10500,21400,1384
Surkhi parsa,Parwan,,,0,18000,17400,35400,18000,17400,35400,1384
province Center (Maidan Shahr),Wardak,1200,1200,2400,16500,15900,32400.002,17700,17100,34800,1384
Jalrez,Wardak,,,0,23400,22500,45900,23400,22500,45900,1384
Hissa-e- awali Behsud,Wardak,,,0,16300,15800,32099.998,16299.999,15800,32099.998,1384
Markaz-e- Behsud,Wardak,,,0,52500,51000,103500,52500,51000,103500,1384
Daimir Dad,Wardak,,,0,13700,13200,26900,13700,13200,26900,1384
Jaghatoo,Wardak,,,0,20200,19500,39700,20200,19500,39700,1384
Chak-e- Wardak,Wardak,,,0,37500,35700,73200,37500,35700,73200,1384
Sayyid Abad,Wardak,,,0,51600,49100,100700,51600,49100,100700,1384
Nerkh,Wardak,,,0,25500,24000,49500,25500,24000,49500,1384
province Center(Puli Alam),Logar,2300,2200,4500,44100,42900,87000,46400,45100,91500,1384
Baraki Barak,Logar,1700,1700,3400,36800,35500,72300,38500,37200,75700.008,1384
Charkh,Logar,,,0,19600,19000,38600,19600,19000,38600,1384
khushi,Logar,,,0,10600,10300,20900,10600,10300,20900,1384
Mohammad Agha,Logar,,,0,33400,32000,65400,33400,32000,65400,1384
Khar war,Logar,,,0,11500,11200,22700,11500,11200,22700,1384
Azra,Logar,,,0,9100,8500,17600,9100,8500,17600,1384
province Center(Ghazni),Ghazni,24400,23300,47700,45900,44400,90300,70300,67700,138000,1384
Deh Yak,Ghazni,,,0,21600,20800,42399.996,21600,20800,42399.996,1384
Zanakhan,Ghazni,,,0,5600,5300,10900.001,5600,5300,10900.001,1384
Khwaja Omari,Ghazni,,,0,8300,8200,16500,8300,8200,16500,1384
Rashidan,Ghazni,,,0,7900,7600,15500,7900,7600,15500,1384
Khogiani,Ghazni,,,0,9000,8500,17500,9000,8500,17500,1384
Jaghatoo,Ghazni,,,0,14100,13500,27600,14100,13500,27600,1384
Waghaz,Ghazni,,,0,17200,16200,33400,17200,16200.001,33400,1384
Qara Bagh,Ghazni,,,0,63300,60500,123800,63300,60500,123800,1384
Giro,Ghazni,,,0,16500,15200,31700,16500,15200,31700,1384
Andar,Ghazni,,,0,55600,52600,108200,55600,52600,108200,1384
Nawur,Ghazni,,,0,41700,40400,82100,41700,40400,82100,1384
Ajristan,Ghazni,,,0,12800,12100,24900,12800,12100,24900,1384
Malestan,Ghazni,,,0,35800,35400,71200.008,35800,35400,71200.008,1384
Jaghuri,Ghazni,,,0,78000,75100,153100,78000,75100,153100,1384
Muqur,Ghazni,,,0,22600,21000,43600,22600,21000,43600,1384
Ab Band,Ghazni,,,0,12300,11500,23800,12300,11500,23800,1384
Gelan,Ghazni,,,0,25700,24500,50200,25700,24500,50200,1384
Nawa,Ghazni,,,0,13200,12500,25700,13200,12500,25700,1384
province Center(Sharan),Paktika,1200,1000,2200,21000,20100,41100,22200,21100,43300,1384
Mata Khan,Paktika,,,0,11100,10500,21600,11100,10500,21600,1384
Yosuf Khel,Paktika,,,0,6000,5700,11700,6000,5700,11700,1384
Yahya Khel,Paktika,,,0,7800,7300,15100,7800,7300,15100,1384
Omna,Paktika,,,0,5400,5100,10500,5400,5100,10500,1384
Sar Rawza,Paktika,,,0,10300,9800,20100,10300,9800,20100,1384
Zarghun Shahr,Paktika,,,0,13300,12600,25900,13300,12600,25900,1384
Jani Khel,Paktika,,,0,10700,10100,20800.002,10700,10100,20800.002,1384
Gomal,Paktika,,,0,3500,3300,6800,3500,3300,6800,1384
Surubi,Paktika,,,0,5400,5300,10700,5400,5300,10700,1384
Urgoon,Paktika,,,0,24600,23300,47899.996,24600,23300,47899.996,1384
Ziruk,Paktika,,,0,8600,8200,16800,8600,8200,16800,1384
Nika,Paktika,,,0,5600,5200,10800,5600,5200,10800,1384
Dela-wa-khoshmand,Paktika,,,0,11200,10600,21800.002,11200,10600,21800.002,1384
Wazakhwah,Paktika,,,0,10300,9800,20100,10300,9800,20100,1384
Turwo,Paktika,,,0,900,900,1800,900,900,1800,1384
Wormamay,Paktika,,,0,1500,1500,3000,1500,1500,3000,1384
Barmal,Paktika,,,0,15500,14700,30200,15500,14700,30200,1384
Giyan,Paktika,,,0,15500,14700,30200,15500,14700,30200,1384
province Center(Gardez),Paktia,10000,9600,19600,26400,25300,51700,36400,34900,71300,1384
Said Karam,Paktia,,,0,28700,27100,55800,28700,27100,55800,1384
Zurmat,Paktia,,,0,47700,45600,93299.992,47700,45600,93299.992,1384
Shwak,Paktia,,,0,2500,2400,4900,2500,2400,4900,1384
Wuza Zadran,Paktia,,,0,15900,14900,30800,15900,14900,30800,1384
Laja Ahmad khel,Paktia,,,0,18500,17600,36100,18500,17600,36100,1384
Jani Khel,Paktia,,,0,15600,14700,30300,15600,14700,30300,1384
Dand Patan,Paktia,,,0,11800,11200,23000,11800,11200,23000,1384
Samkani,Paktia,,,0,21800,21500,43300,21800,21500,43300,1384
Jaji,Paktia,,,0,28000,26600,54600,28000,26600,54600,1384
Ahmad Abad,Paktia,,,0,12100,12000,24100,12100,12000,24100,1384
province Center(Khost),Khost,4800,4500,9300,55700,53800,109500,60500,58300,118799.99,1384
Tirzayee (Ali Sher),Khost,,,0,20000,18800,38800,20000,18800,38800,1384
Baak,Khost,,,0,9800,9400,19199.998,9800,9400,19199.998,1384
Jaji Maidan,Khost,,,0,10800,10100,20900,10800,10100,20900,1384
Sabari (Yaqubi),Khost,,,0,31300,30200,61500,31300,30200,61500,1384
Musa khel,Khost,,,0,18100,17400,35500,18100,17400,35500,1384
Qalandar,Khost,,,0,4600,4300,8900.001,4600,4300,8900.001,1384
Nadir Shah kot,Khost,,,0,14300,13300,27600,14300,13300,27600,1384
Manduzay (Esmayel khil),Khost,,,0,25200,23700,48900,25200,23700,48900,1384
Shamul,Khost,,,0,6100,5700,11800,6100,5700,11800,1384
Spera,Khost,,,0,10900,10200,21100,10900,10200,21100,1384
Tanay,Khost,,,0,26300,25400,51700,26300,25400,51700,1384
Gurbuz,Khost,,,0,11700,11000,22700,11700,11000,22700,1384
province Center (Jalalabad),Ningarhar,85000,80100,165100,,,0,85000,80100,165100,1384
Behsud,Ningarhar,,,0,50100,48500,98600,50100,48500,98600,1384
Surkh Rud,Ningarhar,,,0,53800,50700,104500,53800,50700,104500,1384
Chapar har,Ningarhar,,,0,26600,25700,52300,26600,25700,52300,1384
Rodat,Ningarhar,,,0,30800,29200,60000,30800,29200,60000,1384
Kama,Ningarhar,,,0,34100,32500,66600,34100,32500,66600,1384
Kuzkunar,Ningarhar,,,0,24600,23200,47800,24600,23200,47800,1384
Darah -e- Noor,Ningarhar,,,0,17800,17100,34900,17800,17100,34900,1384
Sher Zad,Ningarhar,,,0,29300,28200,57500,29300,28200,57500,1384
Hesarak,Ningarhar,,,0,13700,13100,26800.002,13700,13100,26800.002,1384
Khogyani,Ningarhar,2000,1900,3900,56100,53100,109200,58100,55000,113100,1384
Pachir Waagam,Ningarhar,,,0,19000,17900,36900,19000,17900,36900,1384
Deh Bala,Ningarhar,,,0,17900,17000,34900,17900,17000,34900,1384
Kott,Ningarhar,,,0,22800,22300,45100,22800,22300,45100,1384
Achin,Ningarhar,,,0,44200,42700,86900,44200,42700,86900,1384
Nazyan,Ningarhar,,,0,6600,6100,12700,6600,6100,12700,1384
Dur Baba,Ningarhar,,,0,10400,9800,20200,10400,9800,20200,1384
Shinwar,Ningarhar,,,0,26500,25500,52000,26500,25500,52000,1384
Bati Kot,Ningarhar,,,0,33400,32200,65600,33400,32200,65600,1384
Muhmand ِِDara,Ningarhar,,,0,20000,19000,39000,20000,19000,39000,1384
Goshta,Ningarhar,,,0,12000,11600,23600,12000,11600,23600,1384
Lalpoor,Ningarhar,,,0,9100,8700,17800,9100,8700,17800,1384
province Center (Asad Abad),Kunar,5700,5300,11000,8900,8400,17300,14599.999,13700,28300,1384
Watapoor,Kunar,,,0,12100,11600,23700,12100,11600,23700,1384
Dara-e- Pech,Kunar,,,0,24400,23000,47400,24400,23000,47400,1384
Narang Wa Badil,Kunar,,,0,13300,12800,26100,13300,12800,26100,1384
Sar Kani,Kunar,,,0,12000,11600,23600,12000,11600,23600,1384
Mara wara,Kunar,,,0,9000,8800,17800,9000,8800,17800,1384
Dangam,Kunar,,,0,7500,7100,14600,7500,7100,14600,1384
Bar Kunar,Kunar,,,0,9700,9400,19100,9700,9400,19100,1384
Shigal Wa Sheltan,Kunar,,,0,12900,12400,25300,12900,12400,25300,1384
Chapa Dara,Kunar,,,0,13900,13000,26900,13900,13000,26900,1384
Noorgal,Kunar,,,0,14200,13300,27500,14200,13300,27500,1384
Sawkai,Kunar,,,0,15900,15100,31000,15900,15100,31000,1384
Khas Kunar,Kunar,,,0,15400,15000,30400,15400,15000,30400,1384
Nari,Kunar,,,0,12300,11600,23900,12300,11600,23900,1384
Ghazi Abad,Kunar,,,0,8300,8000,16299.999,8300,8000,16299.999,1384
province Center (Mehterlam),Laghman,2100,1900,4000,58700,55700,114400,60800,57600,118400,1384
Qarghayee,Laghman,,,0,43500,41500,85000,43500,41500,85000,1384
Alingar,Laghman,,,0,43000,40900,83900,43000,40900,83900,1384
Alishing,Laghman,,,0,31600,30300,61899.996,31600,30300,61899.996,1384
Dawlat Shah,Laghman,,,0,14800,14100,28900,14800,14100,28900,1384
province Center (Paroon),Nooristan,,,0,6000,5700,11700,6000,5700,11700,1384
Noor Gram,Nooristan,,,0,14400,13700,28100,14400,13700,28100,1384
Duab,Nooristan,,,0,3300,3500,6800,3300,3500,6800,1384
Waygal,Nooristan,,,0,9000,8000,17000,9000,8000,17000,1384
Wama,Nooristan,,,0,4900,4700,9599.999,4900,4700,9599.999,1384
Mandol,Nooristan,,,0,8900,8300,17200,8900,8300,17200,1384
Kamdish,Nooristan,,,0,10900,11000,21900,10900,11000,21900,1384
Bargi Matal,Nooristan,,,0,6700,6700,13400,6700,6700,13400,1384
province center (Faiz Abad),Badakhshan,13700,13100,26800,15000,14600,29600,28700,27700,56400,1384
Yaftal-e-Sufla,Badakhshan,,,0,23000,22700,45700,23000,22700,45700,1384
Urgo,Badakhshan,,,0,35000,33000,68000,35000,33000,68000,1384
Darayem,Badakhshan,,,0,27100,26300,53399.996,27100,26300,53399.996,1384
Khash,Badakhshan,,,0,16800,16200,33000,16800,16200.001,33000,1384
Jurm,Badakhshan,1500,1400,2900,14900,14600,29500,16400,16000,32400.002,1384
Wardooj,Badakhshan,,,0,9700,9300,19000,9700,9300,19000,1384
Baharak,Badakhshan,,,0,12500,12400,24900,12500,12400,24900,1384
Shuhada,Badakhshan,,,0,15400,14600,30000,15400,14600,30000,1384
Hissa-e-Awali Kohistan,Badakhshan,,,0,7400,6900,14300,7400,6900,14300,1384
Yawan,Badakhshan,,,0,14500,13700,28200,14500,13700,28200,1384
Shahr-i-Buzurg,Badakhshan,,,0,22900,22400,45300,22900,22400,45300,1384
Kishm,Badakhshan,,,0,35900,34300,70200,35900,34300,70200,1384
Tagab,Badakhshan,,,0,12500,11900,24400,12500,11900,24400,1384
Tashkan,Badakhshan,,,0,13400,12600,26000,13400,12600,26000,1384
Keren –o-Menjan,Badakhshan,,,0,4200,4100,8300,4200,4100,8300,1384
Zebak,Badakhshan,,,0,3600,3300,6900,3600,3300,6900,1384
Eshkashem,Badakhshan,,,0,6100,5900,12000,6100,5900,12000,1384
Wakhan,Badakhshan,,,0,6600,6300,12900.001,6600,6300,12900.001,1384
Sheghnan,Badakhshan,,,0,12500,11700,24200,12500,11700,24200,1384
Arghanj Khwah,Badakhshan,,,0,7000,6900,13900,7000,6900,13900,1384
Raghistan,Badakhshan,,,0,17600,16700,34300,17600,16700,34300,1384
Khwahan,Badakhshan,,,0,7200,7100,14300,7200,7100,14300,1384
Kufab,Badakhshan,,,0,9700,9700,19400,9700,9700,19400,1384
Yamgan(Girwan),Badakhshan,,,0,11500,10800,22300,11500,10800,22300,1384
Darwaz-e- Bala (Nesay),Badakhshan,,,0,10100,10000,20100,10100,10000,20100,1384
Darwaz-e- Payin (Mamay),Badakhshan,,,0,11600,11300,22900,11600,11300,22900,1384
Shiki,Badakhshan,,,0,11500,11300,22800,11500,11300,22800,1384
province Center (Taluqan),Takhar,29300,28700,58000,68600,65500,134100,97900,94200,192100,1384
Hazar Sumuch,Takhar,,,0,6100,5800,11900.001,6100,5800,11900.001,1384
Baharak,Takhar,,,0,13600,13200,26800,13600,13200,26800,1384
Khwaja Ghar,Takhar,2800,2800,5600,26600,25600,52200,29400,28400,57800,1384
Bangi,Takhar,,,0,15400,15100,30500,15400,15100,30500,1384
Eshkamesh,Takhar,,,0,25900,25300,51200,25900,25300,51200,1384
Chal,Takhar,,,0,12600,11800,24400,12600,11800,24400,1384
Namak Ab,Takhar,,,0,5400,5200,10599.999,5400,5200,10599.999,1384
Farkhar,Takhar,1000,1100,2100,19600,18800,38399.996,20600,19900,40500,1384
Kalafgan,Takhar,,,0,15400,15200,30600,15400,15200,30600,1384
Rustaq,Takhar,5300,5000,10300,67400,64000,131400,72700,69000,141700,1384
Chahab,Takhar,9800,9300,19100,24500,23400,47900,34300,32700,67000,1384
Yangi Qala,Takhar,4000,3700,7700,15500,15000,30500,19500,18700,38200,1384
Khwaja Bahawuddin,Takhar,,,0,10100,10100,20200,10100,10100,20200,1384
Darqad,Takhar,,,0,12100,11200,23300,12100,11200,23300,1384
Dashti Qala,Takhar,,,0,14100,13700,27800,14100,13700,27800,1384
Warsaj,Takhar,,,0,16900,16000,32900,16900,16000,32900,1384
province Center (Pul-i-Khumri),Baghlan,43800,41700,85500,47000,44400,91400,90800,86100,176900,1384
Baghlan-e- Jadeed,Baghlan,27600,27400,55000,46500,44700,91200,74100,72100,146200,1384
Dahana-e-Ghuri,Baghlan,700,600,1300,25500,24200,49700,26200,24800,51000,1384
Dooshi,Baghlan,,,0,29700,28300,58000,29700,28300,58000,1384
Khenjan,Baghlan,,,0,13500,13000,26500,13500,13000,26500,1384
Andarab,Baghlan,,,0,11300,10800,22100,11300,10800,22100,1384
Nahreen,Baghlan,2200,2000,4200,28500,27100,55600,30700,29100,59800,1384
Burka,Baghlan,,,0,23400,22200,45600.004,23400,22200,45600.004,1384
Talah-o-barfak,Baghlan,,,0,13600,12600,26200,13600,12600,26200,1384
Pul –e-Hisar,Baghlan,,,0,12400,11500,23900,12400,11500,23900,1384
Deh Salah,Baghlan,,,0,14400,13400,27800,14400,13400,27800,1384
Khwaja hejran (Jalga),Baghlan,,,0,10700,10000,20700,10700,10000,20700,1384
Khost –o-Fereng,Baghlan,,,0,28100,26600,54700,28100,26600,54700,1384
Freng-o-Gharoo,Baghlan,,,0,7300,7000,14300,7300,7000,14300,1384
Gozargah-e- Noor,Baghlan,,,0,4600,4200,8800,4600,4200,8800,1384
province Center (Kunduz),Kunduz,59100,55900,115000,72800,70600,143400,131900,126500,258400,1384
Hazrati Imam Sahib,Kunduz,14400,13800,28199.998,87500,84300,171800,101900,98100,200000,1384
Qala –i-Zal,Kunduz,7800,7300,15100,22500,21800,44300,30300,29100,59400,1384
Chahar Darah,Kunduz,,,0,32400,31300,63700,32400.002,31300,63700,1384
Ali Abad,Kunduz,,,0,20700,20200,40900,20700,20200,40900,1384
Khan Abad,Kunduz,16900,16000,32900,52700,52000,104700,69600,68000,137600,1384
Dasht-i- Archi,Kunduz,1400,1200,2600,35800,34900,70700.008,37200,36100,73300,1384
province Center (Aybak),Samangan,11700,11700,23400,33200,31700,64900,44900,43400,88299.992,1384
Hazrat –i-Sultan,Samangan,,,0,18600,17300,35899.996,18600,17300,35899.996,1384
Feroz Nakhcheer,Samangan,,,0,5800,5500,11300,5800,5500,11300,1384
Dara -e-soof-e- Bala,Samangan,,,0,28400,27700,56100.004,28400,27700,56100.004,1384
Dara -e-soof-i-Payin,Samangan,,,0,31900,30100,62000,31900,30100,62000,1384
Rui- Do- Ab,Samangan,,,0,20600,19000,39600,20600,19000,39600,1384
Khuram Wa Sarbagh,Samangan,,,0,17600,16900,34500,17600,16900,34500,1384
province Center (Mazar-e- sharif),Balkh,151000,143300,294300,,,0,151000,143300,294300,1384
Dehdadi,Balkh,,,0,30000,28500,58500,30000,28500,58500,1384
Nahr-i-shahi,Balkh,,,0,19900,19100,39000,19900,19100,39000,1384
Marmul,Balkh,,,0,5000,4900,9900,5000,4900,9900,1384
Khulm,Balkh,20600,19400,40000,9900,9500,19400,30500,28900,59400,1384
Kaldar,Balkh,,,0,8700,8500,17200,8700,8500,17200,1384
Shortepa,Balkh,,,0,17600,16700,34300,17600,16700,34300,1384
Dawlat Abad,Balkh,4500,4200,8700,41800,40000,81800,46300,44200,90500,1384
Balkh,Balkh,6400,6000,12400,46100,44500,90600,52500,50500,103000,1384
Char Bolak,Balkh,,,0,35800,34500,70300,35800,34500,70300,1384
Chamtal,Balkh,,,0,40500,39000,79500,40500,39000,79500,1384
Sholgara,Balkh,4300,4100,8400.001,46000,43900,89900,50300,48000,98300,1384
Char kent,Balkh,,,0,19800,18800,38600,19800,18800,38600,1384
Koshendah,Balkh,,,0,21500,20700,42200,21500,20700,42200,1384
Zari,Balkh,,,0,19400,18600,38000,19400,18600,38000,1384
province Center (Sheberghan),Juzjan,32800,31900,64699.996,38500,37500,76000,71300,69400,140700,1384
Aqchah,Juzjan,9900,9500,19400,16000,15500,31500,25900,25000,50900,1384
Faizabad,Juzjan,,,0,18500,17700,36200,18500,17700,36200,1384
Mardyan,Juzjan,,,0,16900,16500,33400,16900,16500,33400,1384
Mingajik,Juzjan,,,0,19100,18200,37300,19100,18200,37300,1384
Qarqin,Juzjan,3200,3000,6200,7600,7300,14900.001,10800,10300,21100,1384
Khamyab,Juzjan,,,0,6200,5900,12100,6200,5900,12100,1384
Qush Tepa,Juzjan,,,0,10400,10000,20400,10400,10000,20400,1384
Darzab,Juzjan,800,800,1600,20900,20000,40900,21700,20800,42500,1384
Khwaja Dukoh,Juzjan,,,0,11900,11400,23300,11900,11400,23300,1384
Khanaqa,Juzjan,,,0,17300,16800,34100,17300,16800,34100,1384
province Center (Sar-e-Pul),Sar-i-Pul,12500,11800,24300,55900,52900,108800,68400,64699.996,133099.98,1384
Sozma Qala,Sar-i-Pul,,,0,21800,21100,42900,21800,21100,42900,1384
Sayyad,Sar-i-Pul,,,0,24500,22800,47300,24500,22800,47300,1384
Kohistanat,Sar-i-Pul,,,0,35600,33900,69500,35600,33900,69500,1384
Balkhab,Sar-i-Pul,,,0,22400,21200,43600.004,22400,21200,43600.004,1384
Sancharak,Sar-i-Pul,5300,4900,10200,39900,37100,77000,45200,42000,87200,1384
Gosfandi,Sar-i-Pul,,,0,24100,25000,49100,24100,25000,49100,1384
province Center (Maimana),Faryab,33900,32400,66300,,,0,33900,32400.002,66300,1384
